Metric,Scenario,Per_mean,Per_sd,ZTA_mean,ZTA_sd,Improv_%,p,Sig
MTTD,PtH,235.39,29.6416,0.2646,0.0413,99.9,0.004,**
MTTD,PtT,236.414,34.0624,0.475,0.5071,99.8,0.004,**
MTTD,CD,230.12,26.8914,0.3682,0.0046,99.8,0.004,**
MTTC,PtH,173.86,19.4036,0.0143,0.0047,100.0,0.004,**
MTTC,PtT,158.186,21.8279,0.1913,0.4002,99.9,0.004,**
MTTC,CD,178.056,14.261,0.0179,0.0149,100.0,0.006,**
BR,PtH,4.0,0.0,5.0,0.0,-25.0,0.9991,
BR,PtT,3.0,0.0,5.0,0.0,-66.7,0.9991,
BR,CD,5.0,0.0,6.0,0.0,-20.0,0.9991,
FPR,All,8.0,0.27,3.83,0.22,52.1,0.002,**
